"Species","SpecCode","Suporder","Order","Family","Maximum_body_length","Body_elongation","Vertical_eye_position","Relative_eye_size","Oral_gape_position","Relative_maxillary_length"
"Aequidens_plagiozonatus",46586,"Teleostei","Perciformes","Cichlidae",10.3,2.144744803,0.57804231,0.323886899,0.427998546,0.268756051
"Aequidens_potaroensis",46594,"Teleostei","Perciformes","Cichlidae",10,2.373659281,0.633197192,0.345580888,0.466877673,0.31766055
"Aequidens_rondoni",52210,"Teleostei","Perciformes","Cichlidae",10,2.162231694,0.568994646,0.244776398,0.415184576,0.362236025
"Aequidens_tetramerus",12278,"Teleostei","Perciformes","Cichlidae",25,2.345990085,0.582143773,0.343891032,0.419926944,0.361990051
"Aequidens_tubicen",57663,"Teleostei","Perciformes","Cichlidae",12,2.20284737,0.53511967,0.309007195,0.295458145,0.317111396
"Aequidens_viridis",57661,"Teleostei","Perciformes","Cichlidae",16.5,2.146675825,0.578765676,0.322309472,0.352778169,0.270182867
"Agamyxis_albomaculatus",13258,"Teleostei","Siluriformes","Doradidae",15,2.950207394,0.402126465,0.219512195,0.202865475,"NA"
"Agamyxis_pectinifrons",12104,"Teleostei","Siluriformes","Doradidae",15,3.562309278,0.474226804,0.255561352,0.288706186,"NA"
"Ageneiosus_inermis",47969,"Teleostei","Siluriformes","Auchenipteridae",64.8,4.843402617,0.441368551,0.239799389,0.554374794,0.882506301
"Ageneiosus_magoi",53701,"Teleostei","Siluriformes","Auchenipteridae",18.1,3.821209497,0.539742352,0.269947779,0.609276775,0.545296181
"Ageneiosus_militaris",53698,"Teleostei","Siluriformes","Auchenipteridae",30,5.43419225,0.529326972,0.291995257,0.664857782,0.653402648
"Ageneiosus_pardalis",53704,"Teleostei","Siluriformes","Auchenipteridae",46.2,4.576814407,0.52386146,0.23233044,0.566878215,1.060074523
"Ageneiosus_polystictus",48604,"Teleostei","Siluriformes","Auchenipteridae",45,4.572352827,0.415623676,0.34375,0.67414032,0.880509458
"Ageneiosus_ucayalensis",48607,"Teleostei","Siluriformes","Auchenipteridae",35.2,5.413555191,0.647214694,0.394657198,0.732783052,1.088010504
"Ageneiosus_uranophthalmus",65400,"Teleostei","Siluriformes","Auchenipteridae","NA",5.184823529,0.502262443,0.242424242,0.619909502,0.926050505
"Ageneiosus_vittatus",48610,"Teleostei","Siluriformes","Auchenipteridae",22,4.328259679,0.331298938,0.401087216,0.458997143,0.692320276
"Agoniates_halecinus",51817,"Teleostei","Characiformes","Characidae",26.8,5.468091491,0.628945611,0.374100617,0.671312832,0.839752741
"Aguarunichthys_inpai",52328,"Teleostei","Siluriformes","Pimelodidae",42,4.057813609,0.599508488,0.122403828,0.283484058,0.267621264
"Aguarunichthys_tocantinsensis",52326,"Teleostei","Siluriformes","Pimelodidae",32,4.882611425,0.506681015,0.212114564,0.13146803,0.689377319
"Aguarunichthys_torosus",48583,"Teleostei","Siluriformes","Pimelodidae",35,5.194127083,0.482537714,0.180005353,0.147295289,0.517883431
"Amaralia_oviraptor",68703,"Teleostei","Siluriformes","Aspredinidae",12.28,6.34378125,0.75,0.092307692,0.59375,"NA"
"Amazonsprattus_scintilla",554,"Teleostei","Clupeiformes","Engraulidae",2,8.155857143,0.513149351,0.687498489,0.331168831,0.598053512
"Amblydoras_affinis",57800,"Teleostei","Siluriformes","Doradidae",10,4.103843062,0.594691202,0.301183047,0.437871253,0.332337421
"Amblydoras_gonzalezi",47609,"Teleostei","Siluriformes","Doradidae",10,3.844033377,0.678325586,0.271472918,0.438835124,0.355865585
"Amblydoras_monitor",47610,"Teleostei","Siluriformes","Doradidae",9,4.148946539,0.481047828,0.393939394,0.335677171,"NA"
"Amblydoras_nauticus",51775,"Teleostei","Siluriformes","Doradidae",8,4.1462,0.486846667,0.337662338,0.247026667,"NA"
"Ammocryptocharax_elegans",48741,"Teleostei","Characiformes","Crenuchidae",3.25,7.707829628,0.440982385,0.64516129,0.272355433,0.854064516
"Ammocryptocharax_minutus",48742,"Teleostei","Characiformes","Crenuchidae",2,5.927755552,0.524899986,0.568864425,0.364988274,0.498001675
"Ammocryptocharax_vintonae",48743,"Teleostei","Characiformes","Crenuchidae",9.01,6.098945055,0.510857143,0.580570249,0.323384615,0.420542511
"Ammoglanis_pulex",58387,"Teleostei","Siluriformes","Trichomycteridae",1.49,8.337860488,0.461074837,0.185804659,0.18875638,0.259541762
"Anableps_anableps",7379,"Teleostei","Cyprinodontiformes","Anablepidae",30,6.578880593,0.787070524,0.569897948,0.63244473,0.428596728
"Anableps_microlepis",7380,"Teleostei","Cyprinodontiformes","Anablepidae",32,6.755882515,0.839551074,0.448956862,0.576973237,0.397696403
"Anablepsoides_atratus",49726,"Teleostei","Cyprinodontiformes","Rivulidae",4,5.303761992,0.679711181,0.575246843,0.844627902,0.324600367
"Anablepsoides_bahianus",49727,"Teleostei","Cyprinodontiformes","Rivulidae",6,5.023366541,0.461595865,0.430873898,0.44993609,0.350890716
"Anablepsoides_beniensis",49728,"Teleostei","Cyprinodontiformes","Rivulidae",4,5.294731903,0.580681541,0.519271942,0.672883937,0.271148527
"Anablepsoides_christinae",49740,"Teleostei","Cyprinodontiformes","Rivulidae",6.5,4.44924721,0.379999741,0.478221604,0.396545457,0.45043219
"Anablepsoides_deltaphilus",49746,"Teleostei","Cyprinodontiformes","Rivulidae",6,4.13297018,0.342582651,0.622692734,0.350739589,0.283035481
"Anablepsoides_derhami",49748,"Teleostei","Cyprinodontiformes","Rivulidae",5,4.363103871,0.488110898,0.518982822,0.59710839,0.274249216
"Anablepsoides_elongatus",49750,"Teleostei","Cyprinodontiformes","Rivulidae",5,5.809489049,0.480454649,0.476190476,0.518808323,0.383916667
"Anablepsoides_erberi",49751,"Teleostei","Cyprinodontiformes","Rivulidae",6,4.671792587,0.557748222,0.556170404,0.612155301,0.479880987
"Anablepsoides_gaucheri",64590,"Teleostei","Cyprinodontiformes","Rivulidae",5.71,4.806835572,0.608113888,0.486215648,0.677593144,0.313616613
"Anablepsoides_hartii",4769,"Teleostei","Cyprinodontiformes","Rivulidae",10,5.023925668,0.61553597,0.586445667,0.622572932,0.335287589
"Anablepsoides_holmiae",49759,"Teleostei","Cyprinodontiformes","Rivulidae",8,4.31438673,0.391316606,0.439342609,0.398095078,0.510935118
"Anablepsoides_igneus",49760,"Teleostei","Cyprinodontiformes","Rivulidae",15,5.063032707,0.636770281,0.516575889,0.682299813,0.368289406
"Anablepsoides_immaculatus",49761,"Teleostei","Cyprinodontiformes","Rivulidae",10,4.56957751,0.468231417,0.529672214,0.408259303,0.526404336
"Anablepsoides_intermittens",49762,"Teleostei","Cyprinodontiformes","Rivulidae",8,4.968292801,0.539329026,0.485321841,0.598160496,0.436399072
"Anablepsoides_iridescens",49763,"Teleostei","Cyprinodontiformes","Rivulidae",8,4.451459751,0.521572319,0.561303656,0.678591675,0.254090863
"Anablepsoides_jucundus",49766,"Teleostei","Cyprinodontiformes","Rivulidae",5,4.516442446,0.46256165,0.471475221,0.501823169,0.505550245
"Anablepsoides_lanceolatus",49768,"Teleostei","Cyprinodontiformes","Rivulidae",6,5.370263291,0.549005375,0.581902774,0.649760059,0.27616803
"Anablepsoides_limoncochae",49770,"Teleostei","Cyprinodontiformes","Rivulidae",8,4.959874496,0.537116985,0.62268319,0.617542745,0.234761567
"Anablepsoides_lungi",49772,"Teleostei","Cyprinodontiformes","Rivulidae",7.1,4.688379004,0.588690687,0.523327152,0.741955905,0.269466456
"Anablepsoides_mazaruni",49774,"Teleostei","Cyprinodontiformes","Rivulidae",6,5.301038799,0.673511977,0.562410569,0.548865761,"NA"
"Anablepsoides_micropus",49775,"Teleostei","Cyprinodontiformes","Rivulidae",7,4.624352654,0.499973305,0.551925956,0.586855546,0.327718797
"Anablepsoides_monticola",47124,"Teleostei","Cyprinodontiformes","Rivulidae",3.3,4.104389488,0.571875802,0.528689065,0.647596888,0.278487981
"Anablepsoides_ophiomimus",49781,"Teleostei","Cyprinodontiformes","Rivulidae",8.5,4.839171134,0.489604918,0.524248854,0.510237679,0.380059568
"Anablepsoides_ornatus",49782,"Teleostei","Cyprinodontiformes","Rivulidae",4,4.902663824,0.546087421,0.498292857,0.647012052,0.306218234
"Anablepsoides_peruanus",49784,"Teleostei","Cyprinodontiformes","Rivulidae",6,4.767680058,0.435813908,0.473893447,0.4536398,0.256558419
"Anablepsoides_rubrolineatus",49791,"Teleostei","Cyprinodontiformes","Rivulidae",6.5,4.952889322,0.405125252,0.505880671,0.488017453,0.322239302
"Anablepsoides_speciosus",49793,"Teleostei","Cyprinodontiformes","Rivulidae",4,5.120075,0.569815385,0.550838505,0.736875,0.295713303
"Anablepsoides_stagnatus",49794,"Teleostei","Cyprinodontiformes","Rivulidae",6,4.986895105,0.510711538,0.459208357,0.567646853,0.251599391
"Anablepsoides_taeniatus",49796,"Teleostei","Cyprinodontiformes","Rivulidae",6,4.905251806,0.75726486,0.483619613,0.855668007,0.426240767
"Anablepsoides_urophthalmus",49800,"Teleostei","Cyprinodontiformes","Rivulidae",7,4.839517219,0.487695808,0.519348646,0.487729761,0.201029713
"Anablepsoides_waimacui",49802,"Teleostei","Cyprinodontiformes","Rivulidae",8.5,5.034346103,0.518326131,0.437442614,0.587365381,0.348548729
"Anadoras_grypus",47615,"Teleostei","Siluriformes","Doradidae",11.4,3.73725305,0.535408968,0.314787767,0.447622885,0.281554053
"Anadoras_regani",47617,"Teleostei","Siluriformes","Doradidae",11,3.728002605,0.536003707,0.274185574,0.439997996,0.209251222
"Anadoras_weddellii",47618,"Teleostei","Siluriformes","Doradidae",15,3.911254622,0.458309463,0.296296296,0.322941513,0.256901235
"Anchovia_surinamensis",546,"Teleostei","Clupeiformes","Engraulidae",15,3.853519365,0.621393676,0.536434783,0.587759409,0.869565217
"Anchoviella_alleni",1665,"Teleostei","Clupeiformes","Engraulidae",9,5.72853661,0.479066177,0.484336504,0.427155909,0.678900326
"Anchoviella_carrikeri",1670,"Teleostei","Clupeiformes","Engraulidae",6.5,4.334557528,0.487749154,0.53968254,0.391525297,0.664777778
"Anchoviella_guianensis",1673,"Teleostei","Clupeiformes","Engraulidae",11.3,5.22291952,0.691939737,0.515151515,0.651904168,0.679121212
"Ancistrus_aguaboensis",58428,"Teleostei","Siluriformes","Loricariidae",7,5.416070864,0.649819677,0.280274355,0,0
"Ancistrus_brevifilis",50238,"Teleostei","Siluriformes","Loricariidae",12,5.284151524,0.636920567,0.246753247,0,0
"Ancistrus_bufonius",50240,"Teleostei","Siluriformes","Loricariidae",12,5.552857143,0.612244898,0.114285714,0,0
"Ancistrus_caucanus",50243,"Teleostei","Siluriformes","Loricariidae",5.2,4.747531866,0.594141824,0.263513959,0,0
"Ancistrus_centrolepis",50244,"Teleostei","Siluriformes","Loricariidae",18.4,5.255855022,0.629399151,0.349416583,0,0
"Ancistrus_cirrhosus",23347,"Teleostei","Siluriformes","Loricariidae",9,5.27082549,0.48751862,0.268338426,0,0
"Ancistrus_claro",57536,"Teleostei","Siluriformes","Loricariidae",7,4.651869644,0.715698485,0.260017244,0,0
"Ancistrus_clementinae",50247,"Teleostei","Siluriformes","Loricariidae",10.2,4.850632184,0.544114943,0.294181818,0,0
"Ancistrus_cryptophthalmus",49988,"Teleostei","Siluriformes","Loricariidae",6,5.234361584,0.613816218,0,0,0
"Ancistrus_cuiabae",57537,"Teleostei","Siluriformes","Loricariidae",12,4.208333333,0.557760417,0.246428425,0,0
"Ancistrus_dolichopterus",12213,"Teleostei","Siluriformes","Loricariidae",12,5.232775507,0.680349764,0.333387097,0,0
"Ancistrus_dubius",50249,"Teleostei","Siluriformes","Loricariidae",13,6.382134146,0.760630081,0.410566824,0,0
"Ancistrus_eustictus",50251,"Teleostei","Siluriformes","Loricariidae",18,4.078235812,0.691413732,0.223094056,0,0
"Ancistrus_formoso",49990,"Teleostei","Siluriformes","Loricariidae",8,6.694961418,0.743068766,0.121524457,0,0
"Ancistrus_gymnorhynchus",50256,"Teleostei","Siluriformes","Loricariidae",14.2,5.850972973,0.811824324,0.194887097,0,0
"Ancistrus_hoplogenys",50260,"Teleostei","Siluriformes","Loricariidae",16,5.423830508,0.58640678,0.402,0,0
"Ancistrus_leucostictus",48231,"Teleostei","Siluriformes","Loricariidae",10,5.043228892,0.53193662,0.4033385,0,0
"Ancistrus_lithurgicus",48232,"Teleostei","Siluriformes","Loricariidae",13.2,6.108108108,0.628076577,0.519054217,0,0
"Ancistrus_macrophthalmus",50279,"Teleostei","Siluriformes","Loricariidae",8,7.046527132,0.798449612,0.463721496,0,0
"Ancistrus_marcapatae",50047,"Teleostei","Siluriformes","Loricariidae",12.4,6.359590557,0.647103618,0.279780492,0,0
"Ancistrus_minutus",58429,"Teleostei","Siluriformes","Loricariidae",6,5.420942118,0.655001744,0.382689245,0,0
"Ancistrus_montanus",50286,"Teleostei","Siluriformes","Loricariidae",9.2,6.2714309,0.826042063,0.253855556,0,0
"Ancistrus_occloi",50304,"Teleostei","Siluriformes","Loricariidae",12,5.441007362,0.639779318,0.215686275,0,0
"Ancistrus_pirareta",53588,"Teleostei","Siluriformes","Loricariidae",16,6.941037327,0.823422558,0.349137563,0,0
"Ancistrus_ranunculus",51577,"Teleostei","Siluriformes","Loricariidae",19.5,5.916649044,0.820398175,0.21705736,0,0
"Ancistrus_stigmaticus",50308,"Teleostei","Siluriformes","Loricariidae",15.2,5.162503125,0.60903125,0.221979713,0,0
"Ancistrus_tamboensis",50309,"Teleostei","Siluriformes","Loricariidae",8.2,5.803571429,0.684629464,0.306290816,0,0
"Ancistrus_taunayi",50310,"Teleostei","Siluriformes","Loricariidae",12,5.376695156,0.782722902,0.400359756,0,0
"Ancistrus_temminckii",50312,"Teleostei","Siluriformes","Loricariidae",10,4.622842105,0.588307018,0.352690716,0,0
"Ancistrus_triradiatus",49169,"Teleostei","Siluriformes","Loricariidae",9.2,5.468208092,0.734127168,0.253568613,0,0
"Andeancistrus_platycephalus",49944,"Teleostei","Siluriformes","Loricariidae",14.5,"NA","NA","NA","NA","NA"
"Andinoacara_biseriatus",46569,"Teleostei","Perciformes","Cichlidae",12,2.561295016,0.542988148,0.440021563,0.357390002,0.277350621
"Andinoacara_latifrons",12271,"Teleostei","Perciformes","Cichlidae",17,2.277169561,0.594450863,0.290060138,0.423251606,0.258905046
"Andinoacara_pulcher",4727,"Teleostei","Perciformes","Cichlidae",16,2.189633998,0.566224456,0.239283668,0.415104174,0.273896848
"Andinoacara_rivulatus",12209,"Teleostei","Perciformes","Cichlidae",20,2.063446316,0.581056842,0.219034243,0.317894737,0.27855771
"Anduzedoras_oxyrhynchus",57803,"Teleostei","Siluriformes","Doradidae",32.3,4.68665035,0.507041958,0.529728155,0,0.322737864
"Anodus_elongatus",51222,"Teleostei","Characiformes","Hemiodontidae",30.3,5.438588509,0.401692943,0.499895855,0.412654746,0.571943345
"Anodus_orinocensis",57979,"Teleostei","Characiformes","Hemiodontidae",28,3.93330359,0.410250099,0.365504934,0.466659487,0.574197502
"Anostomus_anostomus",10766,"Teleostei","Characiformes","Anostomidae",16,4.385947191,0.492005338,0.615423077,0.55481119,0.244935897
"Anostomus_brevior",27835,"Teleostei","Characiformes","Anostomidae",12,3.935416564,0.482552654,0.508425725,0.599732311,0.336055441
"Anostomus_ternetzi",26386,"Teleostei","Characiformes","Anostomidae",12,4.796096568,0.396584051,0.612466844,0.592460984,0.318710467
"Apareiodon_affinis",23432,"Teleostei","Characiformes","Parodontidae",17,4.907667954,0.539156194,0.489442935,0.409362645,0.3816
"Apareiodon_gransabana",54758,"Teleostei","Characiformes","Parodontidae",9.2,4.462525667,0.447793959,0.401390349,0.341747271,0.386318495
"Apareiodon_hasemani",52509,"Teleostei","Characiformes","Parodontidae",7,5.471970474,0.544459644,0.431818182,0.326479138,0.183227273
"Apareiodon_ibitiensis",52505,"Teleostei","Characiformes","Parodontidae",11.3,5.301999543,0.352921428,0.575168049,0.229041052,"NA"
"Apareiodon_machrisi",52507,"Teleostei","Characiformes","Parodontidae",7.4,4.115879962,0.324924456,0.521518298,0.151234761,0.253503242
"Apareiodon_piracicabae",28259,"Teleostei","Characiformes","Parodontidae",12,4.59753231,0.472062577,0.45544549,0.24232477,0.396262758
"Apareiodon_vittatus",52506,"Teleostei","Characiformes","Parodontidae",14.5,4.967855192,0.518614561,0.386666667,0.287540518,0.381813333
"Apareiodon_vladii",62850,"Teleostei","Characiformes","Parodontidae",11.34,3.902718919,0.518918919,0.492753623,0.275675676,"NA"
"Aphanotorulus_ammophilus",53504,"Teleostei","Siluriformes","Loricariidae",16.1,5.925599379,0.667178956,0.315579843,0,0
"Aphanotorulus_unicolor",48973,"Teleostei","Siluriformes","Loricariidae",14,5.018245467,0.627395625,0.28590574,0,0
"Aphyocharacidium_bolivianum",53381,"Teleostei","Characiformes","Characidae",3.38,3.22930084,0.564645817,0.571491337,0.606109638,0.453224215
"Aphyocharacidium_melandetum",28005,"Teleostei","Characiformes","Characidae",4,3.420027455,0.461739255,0.601269612,0.474957485,0.526483641
"Aphyocharax_anisitsi",10618,"Teleostei","Characiformes","Characidae",6,3.734252566,0.587282781,0.531110876,0.607188575,0.513858173
"Aphyocharax_colifax",51818,"Teleostei","Characiformes","Characidae",5.02,3.916823485,0.517500941,0.465567749,0.458694016,0.428694318
"Aphyocharax_dentatus",27667,"Teleostei","Characiformes","Characidae",7.2,4.188791702,0.469796527,0.538085441,0.525947493,0.418262258
"Aphyocharax_erythrurus",12338,"Teleostei","Characiformes","Characidae",6,4.119874483,0.525284374,0.487179487,0.561521287,0.747230769
"Aphyocharax_nattereri",51080,"Teleostei","Characiformes","Characidae",3.1,3.884835549,0.591715865,0.54350532,0.66806549,0.636639919
"Aphyocharax_pusillus",51081,"Teleostei","Characiformes","Characidae",6.35,4.240993116,0.588938603,0.466666667,0.640845531,0.640316667
"Aphyocharax_rathbuni",12340,"Teleostei","Characiformes","Characidae",3,3.637248107,0.454301972,0.450162709,0.450733753,0.505349993
"Aphyocharax_yekwanae",61400,"Teleostei","Characiformes","Characidae",6,4.308084745,0.531467441,0.610185989,0.555941331,0.596427538
"Aphyocheirodon_hemigrammus",53386,"Teleostei","Characiformes","Characidae",5,2.769290768,0.49944299,0.469292322,0.48480106,0.576410521
"Aphyodite_grammica",52922,"Teleostei","Characiformes","Characidae",3.2,3.623591398,0.484030398,0.59507289,0.445777784,0.568914652
"Apionichthys_menezesi",62028,"Teleostei","Pleuronectiformes","Achiridae",6,"NA","NA","NA","NA","NA"
"Apionichthys_rosai",62027,"Teleostei","Pleuronectiformes","Achiridae",3.45,"NA","NA","NA","NA","NA"
"Apionichthys_sauli",62030,"Teleostei","Pleuronectiformes","Achiridae",7,"NA","NA","NA","NA","NA"
"Apionichthys_seripierriae",62029,"Teleostei","Pleuronectiformes","Achiridae",9,"NA","NA","NA","NA","NA"
"Apistogramma_agassizii",26703,"Teleostei","Perciformes","Cichlidae",4.2,3.295847894,0.532362245,0.544170222,0.45628447,0.506718233
"Apistogramma_alacrina",62004,"Teleostei","Perciformes","Cichlidae",5.49,2.546439843,0.637574314,0.357803948,0.396416601,0.373057811
"Apistogramma_arua",51778,"Teleostei","Perciformes","Cichlidae",4.4,2.919363638,0.641382717,0.389473684,0.451756779,0.526315789
"Apistogramma_atahualpa",57506,"Teleostei","Perciformes","Cichlidae",4.2,2.858179649,0.565069344,0.36801919,0.402487117,0.493655026
"Apistogramma_bitaeniata",13116,"Teleostei","Perciformes","Cichlidae",5,3.231094549,0.633723936,0.483113498,0.547410822,0.418129115
"Apistogramma_borellii",11138,"Teleostei","Perciformes","Cichlidae",4,2.891251179,0.516866986,0.434170537,0.41514098,0.40976489
"Apistogramma_brevis",46595,"Teleostei","Perciformes","Cichlidae",4,2.941367981,0.557894816,0.377777778,0.385972922,0.442355556
"Apistogramma_cacatuoides",12282,"Teleostei","Perciformes","Cichlidae",5,2.979815316,0.521706169,0.553571429,0.402156402,0.482482143
"Apistogramma_commbrae",12283,"Teleostei","Perciformes","Cichlidae",4,3.009039423,0.585473143,0.438674416,0.389038835,0.287050757
"Apistogramma_cruzi",26692,"Teleostei","Perciformes","Cichlidae",5.1,2.514526728,0.511603421,0.505571397,0.403986102,0.463347877
"Apistogramma_diplotaenia",46851,"Teleostei","Perciformes","Cichlidae",4,3.62293956,0.646282624,0.411735642,0.410473901,0.537550291
